ID,Treatment,Cal_cum,LV_TAG,lipidosis_area_pct,Fat_mass,subq_wt,epi_wat,mesenteric_wt,plasma_TAG,liver_wt,TG_feces,TG_feces2,fecal_tot_output,wt,Lean_mass,Lean_mass_outlier,avgEE,avgEE2,leptin_new,glucose_plasma,insulin_plasma,CHL_feces2,uptake_freq_light,uptake_freq_dark,allmeters_light,allmeters_dark,pedmeters_light,pedmeters_dark,bw_cage
1,LFD,1425.87,367.77,17.596,11.152,0.4,1.8,0.33,38.547,1.58,23.4,23.4,0.75,38.4,21.978,21.978,0.488256279,0.488256279,2.284,155.97,0.139,136,6,17,55.092895,172.40065,43.68306,146.47245,35.1
2,LFD,1241.231,400.53,0.696,7.357,0.72,1.34,0.48,53.408,1.28,20.865,20.865,0.72,33.1,20.333,20.333,0.44324774,0.44324774,1.777,148.39,0.266,199.2,9,17,40.315825,227.3187,31.81791,195.65125,28.9
3,LFD,1298.18,379.47,17.311,10.517,0.89,2.08,0.94,68.087,1.38,20.28,20.28,0.66,35.7,19.183,19.183,0.552400454,0.552400454,3.579,130.86,0.832,132.4,5,18,33.69553,217.4988,25.83633,186.3535,32.2
4,LFD,1812.026,332.67,16.353,12.781,0.78,2.13,0.54,37.492,1.96,23.01,23.01,0.9,43,22.879,22.879,0.689006692,0.689006692,3.282,91.59,0.195,158.8,16,18,126.78045,168.3371,100.707535,136.4208,35.7
5,LFD,1373.638,408.33,5.164,6.385,0.26,0.97,0.32,46.053,1.38,19.695,19.695,0.89,32.2,21.055,21.055,0.473706956,0.473706956,0.75,118.92,0.242,144.4,10,19,44.151325,218.07965,36.85443,195.09785,30
6,LFD,1448.174,454.35,22.362,11.46,0.99,2.07,0.6,45.932,1.59,10.335,10.335,0.76,39.5,21.94,21.94,0.556338881,0.556338881,2.772,154.21,0.282,112,17,33,84.7099,149.5814,61.551045,115.49105,38.4
7,LFD,1306.69,423.93,7.684,9.373,0.55,1.29,0.47,44.938,1.44,10.92,10.92,0.82,34.3,19.727,19.727,0.432160985,0.432160985,2.143,155.44,0.534,126.4,10,22,43.62919,125.20115,28.595825,93.74024,32.1
8,LFD,1760.929,446.94,30.752,13.872,0.83,2.12,0.65,44.365,1.87,10.53,10.53,0.81,43.3,22.498,22.498,0.536909319,0.536909319,3.67,114.43,0.031,113.6,12,19,88.27915,172.1559,64.606815,138.02205,39.2
9,LFD,1535.76,494.91,5.385,11.954,0.89,1.96,0.47,50.996,1.57,12.285,12.285,0.93,40.5,21.976,21.976,0.542921988,0.542921988,2.718,204.09,0.059,86,12,21,70.554535,172.65615,56.358205,143.2025,39.1
10,LFD,1365.553,424.71,6.81,9.262,0.6,1.57,0.3,52.082,1.27,13.065,13.065,0.68,34.2,18.568,18.568,0.428594673,0.428594673,1.898,129.27,0.042,76.8,9,21,47.79459,217.8674,35.24376,184.78795,31.1
11,LFD,1356.688,426.27,3.079,9.296,0.78,1.63,0.44,41.23,1.38,35.49,35.49,0.67,36.6,20.604,20.604,0.513766473,0.513766473,2.898,142.58,0.619,145.2,7,12,53.54587,134.56555,39.357645,104.79659,34.3
12,LFD,1461.649,730.08,14.881,11.612,0.91,2.2,0.51,40.778,1.59,30.81,30.81,0.9,39.2,21.378,21.378,0.474846775,0.474846775,2.852,135.24,0.441,203.2,11,22,57.525815,191.4239,41.38547,165.8117,37.4
13,HFD,1686.673,500.76,11.683,18.67,1.89,2.49,1.57,43.762,2.26,19.695,19.695,0.9,48.9,22.39,22.39,0.490685527,0.490685527,9.539,150.63,2.176,312,9,23,56.537055,150.6399,36.70836,115.405765,37.4
14,HFD,1944.873,480.48,27.536,18.154,2,2.11,1.23,59.346,2.51,28.86,28.86,0.97,52.2,25.276,,0.557849154,0.557849154,8.052,118.2,0.108,351.6,10,22,70.088715,122.1185,52.501705,90.415435,47.2
15,HFD,1663.419,633.36,21.128,20.911,2.65,1.73,1.25,38.095,2.81,17.94,17.94,0.85,51.6,21.949,21.949,0.629904925,0.629904925,9.242,169.2,3.21,426,7,13,31.14613,82.26314,16.37222,53.64253,47.2
16,HFD,1765.193,535.08,18.855,21.292,2.49,2.64,1.6,54.041,2.7,31.59,31.59,0.82,52.9,23.638,23.638,0.616978823,0.616978823,10.004,160.75,1.837,408.4,7,14,34.349155,102.961975,27.042865,84.721535,44.6
17,HFD,1679.297,402.87,10.571,18.396,2.08,3.36,1.03,51.388,1.46,23.4,23.4,0.73,46.5,19.644,19.644,0.48903855,0.48903855,7.845,134.15,1.254,378,11,15,26.74988,119.6585,20.502045,93.51268,38
18,HFD,1790.035,563.94,12.115,20.473,2.53,1.85,1.83,41.923,2.77,12.09,12.09,0.85,51.8,23.077,23.077,0.541790277,0.541790277,10.613,178.4,2.592,375.2,11,27,47.05006,142.22535,36.199485,108.75625,47
19,HFD,1873.626,627.51,18.259,17.885,1.91,2.03,1.24,44.998,2.26,12.87,12.87,0.85,47.3,21.895,21.895,0.551020215,0.551020215,6.598,146.87,2.223,400,11,17,44.119475,127.32565,36.603195,104.601575,44.1
20,HFD,1822.406,615.81,19.598,19.7,2.96,1.61,1.43,38.427,2.69,11.31,11.31,0.85,50.7,22.83,22.83,0.576811238,0.576811238,7.982,159.72,1.045,491.6,9,25,39.682305,116.7947,22.03328,74.91893,48.6
21,HFD,1768.625,900.12,13.914,21.159,2.43,1.61,1.32,38.367,3.22,12.09,12.09,0.79,52.3,23.651,23.651,0.585054515,0.585054515,7.755,144.22,1.443,272.8,8,16,65.562925,105.65115,48.593545,77.168075,51
22,HFD,1714.332,892.71,13.468,20.905,2,1.8,1.72,54.131,3.03,26.13,26.13,0.8,50,21.855,21.855,0.571376238,0.571376238,8.685,174.57,2.319,359.2,8,22,57.91239,115.5815,38.81287,81.695925,49.1
23,HFD,1762.991,621.27,7.739,20.583,1.63,3.36,1.26,58.291,1.8,37.05,37.05,1,48.7,19.767,19.767,0.501886794,0.501886794,8.969,188.68,1.07,245.2,12,20,62.154525,171.91215,45.904115,140.74235,46.1
24,HFD,1778.357,1052.22,21.012,20.31,1.78,2.15,1.53,42.647,2.56,36.66,36.66,0.79,50.2,22.25,22.25,0.565818685,0.565818685,9.599,157.39,3.853,302.4,10,20,51.198365,132.4341,33.13301,102.10355,50.4
25,HFD+LXN,1644.212,508.56,11.407,21.705,1.6,2.72,1.57,61.094,2.35,30.03,30.03,0.98,52.7,21.845,21.845,0.479337065,0.479337065,8.448,161.54,1.033,566.4,9,19,45.69786,142.18685,30.05589,113.2929,41
26,HFD+LXN,1725.651,657.15,11.176,20.132,2.14,2.35,1.6,42.285,2.72,26.13,26.13,0.92,52.4,24.008,24.008,0.56321304,0.56321304,7.105,145.08,1.392,513.2,18,25,97.05376,148.3989,72.96315,121.11515,44.4
27,HFD+LXN,1823.328,521.43,18.832,19.144,2.27,2.04,1.09,42.707,2.78,30.03,30.03,0.72,51.2,23.136,23.136,0.673231715,0.673231715,7.336,127.16,1.596,545.6,6,21,43.07734,104.52273,25.590415,70.536435,44.8
28,HFD+LXN,1840.435,542.49,19.763,19.287,2.12,2.06,1.17,58.321,2.4,26.715,26.715,1.06,51.2,24.143,24.143,0.588365113,0.588365113,7.824,110.64,1.428,519.2,15,19,69.57875,129.79305,44.09136,94.833925,46.6
29,HFD+LXN,1763.81,469.17,18.4,20.171,2.1,2.15,1.29,42.345,2.46,28.47,28.47,0.96,51.8,23.339,23.339,0.515355446,0.515355446,8.831,143.52,1.156,397.2,11,24,24.159625,141.022,18.870705,111.4485,45
30,HFD+LXN,1745.422,547.95,20.233,20.826,2.47,2.49,1.52,49.972,3,13.065,13.065,1,53.3,23.894,23.894,0.558960535,0.558960535,8.474,158.48,2.711,354.4,11,26,56.274605,153.03965,37.89706,113.9247,47.9
31,HFD+LXN,1965.822,565.11,14.866,17.756,2.1,1.54,1.11,36.709,2.01,21.06,21.06,1.16,50.7,25.414,25.414,0.596355371,0.596355371,5.226,130.58,2.577,448,10,23,75.364565,154.81215,55.07053,120.881,49
32,HFD+LXN,1648.77,678.6,13.098,18.775,1.6,2,1.35,42.948,2.35,13.455,13.455,0.95,47.2,21.155,21.155,0.530491542,0.530491542,7.668,155.99,1.676,334.8,14,27,95.96079,194.7753,76.172965,162.5138,44.5
33,HFD+LXN,1819.333,707.07,11.695,20.609,2.3,2.07,1.2,44.727,3.14,26.52,26.52,0.9,51.3,23.551,23.551,0.592243296,0.592243296,8.629,137.12,4.714,419.6,13,20,36.491575,134.41195,20.98825,101.28439,50.3
34,HFD+LXN,1739.43,692.25,17.491,21.201,2.53,2.72,1.36,51.539,2.25,23.4,23.4,0.96,50.2,21.049,21.049,0.53436821,0.53436821,9.452,181.09,2.382,399.2,14,26,74.80275,179.14235,57.805025,144.37155,45.7
35,HFD+LXN,1913.065,621.27,4.87,18.777,1.82,2.65,1.06,49.248,1.69,39.78,39.78,0.9,47.7,21.673,21.673,0.575861279,0.575861279,6.572,150.27,1.5,210.4,10,21,40.64707,95.61094,26.62872,65.304585,46.3
36,HFD+LXN,1559.135,501.54,0.302,12.884,1.03,2.82,0.53,58.984,1.18,35.295,35.295,0.81,39.4,20.366,20.366,0.490612208,0.490612208,4.82,152.52,0.808,214,12,26,86.098195,226.53745,75.751175,198.49345,31.5
37,HFD+HXN,1552.169,368.55,8.501,17.602,1.57,2.75,1.27,42.617,1.83,37.44,37.44,0.78,47.3,21.228,21.228,0.465931406,0.465931406,9.455,139.21,1.469,362,11,25,43.099045,123.2067,28.99669,91.373685,37.8
38,HFD+HXN,1666.236,458.25,3.718,15.768,1.27,3.05,1.22,52.624,1.21,28.08,28.08,0.74,46,22.062,22.062,0.489738908,0.489738908,8.992,119.33,0.376,447.6,9,24,34.21882,126.11605,25.646125,94.45339,35.7
39,HFD+HXN,1639.96,603.33,16.618,21.098,2.52,2.61,1.53,53.92,2.35,24.765,24.765,0.85,50.5,22.172,22.172,0.498543792,0.498543792,7.905,166.51,1.484,501.6,9,23,57.49271,135.4603,35.939155,97.245705,41.5
40,HFD+HXN,1583.209,572.13,15.636,18.208,1.89,3.51,1.21,60.672,1.71,28.86,28.86,0.81,47.3,20.732,20.732,0.47001475,0.47001475,7.952,134.09,0.581,422.4,6,21,23.589075,175.70815,18.168485,142.357,37
41,HFD+HXN,1708.8,687.57,2.021,20.594,2.14,2.53,1.81,39.964,2.66,35.1,35.1,0.83,50.4,21.086,21.086,0.501937223,0.501937223,9.064,143.81,3.098,438,14,34,39.76459,148.77295,31.592215,117.163015,43.8
42,HFD+HXN,1664.751,780,19.615,19.71,1.56,2.06,1.69,50.363,2.91,16.185,16.185,0.84,53.4,25.3,25.3,0.546049444,0.546049444,7.894,186.37,2.505,360.8,7,19,50.95989,92.40147,30.912115,61.93015,49.6
43,HFD+HXN,1577.574,515.97,5.154,15.025,1.26,3,0.6,48.917,1.38,18.525,18.525,0.83,41.8,18.845,18.845,0.485221619,0.485221619,6.897,155.72,0.81,442.4,6,19,60.69182,164.0188,44.92397,131.58745,37.6
44,HFD+HXN,1648.258,484.38,4.116,16.203,1.9,3.31,0.55,43.521,1.36,19.11,19.11,0.79,44,19.677,19.677,0.475531529,0.475531529,7.028,159.88,0.606,479.6,15,25,78.701615,151.7997,58.06735,119.14575,39.2
45,HFD+HXN,1489.476,521.82,12.494,18.318,1.73,3.04,0.76,49.218,1.81,25.155,25.155,0.94,46.7,20.672,20.672,0.53384099,NA,6.999,130.05,1.15,425.2,11,26,49.72929,156.9583,31.096175,119.085505,43.5
46,HFD+HXN,1673.868,790.92,5.366,13.942,1.26,2.98,0.52,75.653,1.28,15.015,15.015,0.88,40.8,19.428,19.428,0.492012371,0.492012371,5.648,172.22,0.502,427.2,7,22,56.254715,158.388,35.892595,119.36235,38.4
47,HFD+HXN,1714.844,664.56,22.111,19.668,2.04,1.88,1.33,34.96,2.64,35.295,35.295,0.93,51.7,23.312,23.312,0.592866025,0.592866025,7.37,153.58,2.654,460.4,14,25,57.72467,116.8357,39.108675,88.43903,51.7
48,HFD+HXN,1478.72,589.68,5.238,18.627,1.72,3.14,1.17,53.498,1.77,70.59,NA,0.8,48.8,21.123,21.123,0.525018742,NA,8.883,152.66,1.097,390.4,10,24,35.83867,127.89375,27.28637,104.85791,46.7
49,HFD+TXN,1627.053,362.31,2.72,11.771,0.69,2.7,0.36,54.101,1.27,22.425,22.425,0.84,40.8,21.869,21.869,0.492923917,0.492923917,3.42,139.11,0.198,427.2,14,25,44.156935,130.3004,25.463915,96.670635,34
51,HFD+TXN,1548.584,430.95,9.694,18.357,1.72,2.93,1.28,49.188,1.57,18.915,18.915,0.67,45.9,19.603,19.603,0.473599317,0.473599317,9.511,132.47,1.812,569.2,8,18,88.15828,165.8478,65.362755,131.82245,36.4
52,HFD+TXN,1534.703,332.28,8.05,15.996,1.18,3,0.67,66.279,1.33,29.445,29.445,0.68,42.1,18.344,18.344,0.4422546,0.4422546,8.001,155.68,0.261,561.6,7,15,32.411205,118.57425,18.800605,87.315835,33.1
53,HFD+TXN,1642.675,525.72,17.234,19.307,2.54,3.2,1.57,56.874,2,22.815,22.815,0.79,50.4,21.763,21.763,0.503787473,0.503787473,11.147,150.08,2.451,511.2,10,23,44.52117,174.78995,32.315285,134.10945,41
54,HFD+TXN,1485.788,335.01,3.943,12.891,1.08,2.47,0.42,76.075,1.06,22.62,22.62,0.77,36.6,17.399,17.399,0.432900029,0.432900029,6.318,168.95,0.285,501.2,7,22,34.66613,140.2372,28.68853,118.5058,31.2
55,HFD+TXN,1515.086,412.62,7.777,13.314,0.84,2.83,0.56,72.91,1.25,26.13,26.13,0.83,39.6,19.176,19.176,0.497568006,0.497568006,5.207,168.53,0.366,484.4,11,21,58.522265,159.44465,37.20333,118.42605,36.4
56,HFD+TXN,1638.014,457.08,0.983,11.159,0.95,2.69,0.47,57.477,1.19,20.28,20.28,0.75,39.6,21.431,21.431,0.458896088,0.458896088,4.219,156.39,0.293,598.4,9,17,61.714475,130.1325,42.473355,93.37231,36
57,HFD+TXN,2122.555,618.54,18.583,18.454,0.86,2.12,1.14,45.721,1.88,26.715,26.715,1.09,51.9,24.086,24.086,0.609909815,0.609909815,6.755,134.08,1.879,548.4,11,15,74.29408,144.8394,53.373875,107.8113,49
58,HFD+TXN,1716.893,440.7,7.057,15.673,1.23,2.84,0.68,45.119,1.39,19.305,19.305,0.51,43.3,19.907,19.907,0.475786017,0.475786017,6.346,141.68,0.789,574,12,14,68.473405,213.92675,52.966995,175.9285,39.8
59,HFD+TXN,2033.944,420.42,1.079,8.871,0.52,1.56,0.24,59.045,1.07,60.645,NA,0.76,34.7,19.829,19.829,0.474205429,0.474205429,2.092,156.7,0.388,440,7,18,81.529035,215.80345,59.225495,174.2464,33.6
60,HFD+TXN,1998.602,546.78,0.766,12.127,0.67,2.35,0.47,53.317,1.19,23.205,23.205,0.87,39.2,20.403,20.403,0.514061867,0.514061867,3.479,166.78,0.231,487.6,11,25,132.35345,239.79495,108.7314,208.5433,38.3